seq_id,sequence_length_aa,cluster_id,cluster_size,sequence_weight,framework_identity_to_nb252,framework_coverage_to_nb252,is_nb252_neighbor
76,126,64,1,1.0,0.85714286,1.0,True
77,124,65,1,1.0,0.79120879,1.0,False
78,128,66,1,1.0,0.75824176,1.0,False
80,130,67,1,1.0,0.75824176,1.0,False
81,132,68,1,1.0,0.74725275,1.0,False
82,124,69,1,1.0,0.82417582,1.0,True
83,123,70,1,1.0,0.76923077,1.0,False
84,131,71,1,1.0,0.8021978,1.0,True
85,130,72,1,1.0,0.78021978,0.98901099,False
86,121,73,1,1.0,0.83516484,0.98901099,True
87,120,74,1,1.0,0.72527473,0.98901099,False
88,124,75,1,1.0,0.81318681,1.0,True
89,123,76,1,1.0,0.67032967,0.98901099,False
91,122,77,1,1.0,0.83516484,1.0,True
92,119,78,1,1.0,0.75824176,1.0,False
94,121,79,1,1.0,0.79120879,1.0,False
95,117,23,84,0.0119047619,0.74725275,1.0,False
96,128,80,1,1.0,0.74725275,0.98901099,False
97,132,81,1,1.0,0.76923077,1.0,False
98,129,82,1,1.0,0.82417582,1.0,True
99,125,83,1,1.0,0.84615385,1.0,True
100,127,84,1,1.0,0.82417582,0.98901099,True
101,130,85,5,0.2,0.81318681,1.0,True
102,125,86,1,1.0,0.83516484,1.0,True
103,116,23,84,0.0119047619,0.72527473,0.98901099,False
104,122,87,1,1.0,0.79120879,1.0,False
105,126,88,1,1.0,0.8021978,1.0,True
106,125,89,2,0.5,0.76923077,1.0,False
107,126,90,1,1.0,0.81318681,1.0,True
108,131,91,6,0.1666666667,0.7032967,1.0,False
109,122,92,1,1.0,0.72527473,1.0,False
110,121,93,1,1.0,0.79120879,0.98901099,False
111,128,94,1,1.0,0.72527473,1.0,False
112,123,95,1,1.0,0.8021978,0.98901099,True
113,129,96,1,1.0,0.75824176,1.0,False
114,116,23,84,0.0119047619,0.74725275,0.98901099,False
115,125,97,1,1.0,0.76923077,1.0,False
116,128,98,1,1.0,0.76923077,0.97802198,False
117,116,23,84,0.0119047619,0.71428571,0.98901099,False
118,127,99,1,1.0,0.79120879,1.0,False
119,123,100,1,1.0,0.81318681,0.98901099,True
120,130,101,1,1.0,0.79569892,1.0,False
121,117,102,1,1.0,0.81318681,1.0,True
122,116,23,84,0.0119047619,0.72527473,0.98901099,False
123,127,103,1,1.0,0.76923077,1.0,False
124,130,104,1,1.0,0.78947368,1.0,False
125,120,105,1,1.0,0.76923077,1.0,False
126,126,106,1,1.0,0.82417582,1.0,True
128,117,107,1,1.0,0.84615385,1.0,True
129,120,108,1,1.0,0.79120879,0.98901099,False
130,122,109,1,1.0,0.81318681,0.98901099,True
132,116,23,84,0.0119047619,0.73626374,0.98901099,False
133,129,110,1,1.0,0.79120879,0.97802198,False
134,115,111,1,1.0,0.69230769,0.97802198,False
136,117,112,14,0.0714285714,0.8021978,0.98901099,True
137,122,113,4,0.25,0.72527473,1.0,False
138,121,114,1,1.0,0.67032967,0.87912088,False
139,120,115,1,1.0,0.73626374,0.98901099,False
140,120,116,1,1.0,0.84615385,1.0,True
141,125,117,1,1.0,0.8021978,0.98901099,True
142,119,118,1,1.0,0.60638298,0.87912088,False
143,116,23,84,0.0119047619,0.74725275,0.98901099,False
144,126,119,1,1.0,0.83516484,1.0,True
145,121,120,1,1.0,0.79120879,0.98901099,False
146,122,121,1,1.0,0.74725275,0.97802198,False
147,126,122,1,1.0,0.79120879,1.0,False
148,124,123,1,1.0,0.58510638,1.0,False
149,129,124,1,1.0,0.74725275,1.0,False
150,132,125,1,1.0,0.77419355,0.97802198,False
151,125,126,10,0.1,0.8021978,1.0,True
152,123,127,1,1.0,0.86813187,0.97802198,True
153,126,128,1,1.0,0.8021978,1.0,True
154,126,129,1,1.0,0.75824176,1.0,False
155,126,130,1,1.0,0.76923077,1.0,False
156,126,131,1,1.0,0.75268817,1.0,False
157,127,132,1,1.0,0.79120879,1.0,False
158,126,133,1,1.0,0.74725275,1.0,False
159,125,134,1,1.0,0.78021978,1.0,False
160,117,135,1,1.0,0.73626374,1.0,False
161,129,136,1,1.0,0.82417582,1.0,True
162,117,23,84,0.0119047619,0.72527473,1.0,False
163,128,137,1,1.0,0.76923077,1.0,False
164,128,138,1,1.0,0.78021978,1.0,False
165,121,139,1,1.0,0.7032967,0.87912088,False
166,121,140,1,1.0,0.76923077,1.0,False
167,120,141,1,1.0,0.78021978,0.98901099,False
168,128,142,1,1.0,0.72527473,0.98901099,False
169,113,143,1,1.0,0.82417582,0.98901099,True
170,121,144,1,1.0,0.8021978,1.0,True
171,126,145,1,1.0,0.75824176,1.0,False
173,120,146,1,1.0,0.78021978,1.0,False
174,120,147,1,1.0,0.82417582,0.97802198,True
175,125,148,1,1.0,0.83516484,0.98901099,True
176,129,149,1,1.0,0.79120879,0.97802198,False
177,121,150,1,1.0,0.73626374,1.0,False
179,118,151,1,1.0,0.84615385,1.0,True
180,123,152,1,1.0,0.83516484,0.98901099,True
181,111,153,1,1.0,0.72527473,0.87912088,False
182,124,154,1,1.0,0.75824176,0.98901099,False
183,129,155,1,1.0,0.82417582,1.0,True
184,119,156,1,1.0,0.71428571,1.0,False
185,129,157,1,1.0,0.84615385,1.0,True
186,123,158,1,1.0,0.81318681,1.0,True
187,127,159,1,1.0,0.72527473,1.0,False
188,120,160,2,0.5,0.8021978,1.0,True
189,127,161,1,1.0,0.84615385,1.0,True
190,136,162,1,1.0,0.75824176,1.0,False
191,127,163,1,1.0,0.79120879,0.96703297,False
192,117,164,1,1.0,0.84615385,0.98901099,True
193,129,165,1,1.0,0.83516484,1.0,True
194,124,166,1,1.0,0.86813187,1.0,True
195,125,167,1,1.0,0.79120879,1.0,False
196,127,168,1,1.0,0.81318681,0.98901099,True
197,127,169,1,1.0,0.69565217,0.98901099,False
198,126,170,1,1.0,0.84615385,1.0,True
199,129,171,1,1.0,0.78021978,1.0,False
200,127,172,1,1.0,0.74725275,1.0,False
202,117,173,1,1.0,0.72340426,1.0,False
204,126,174,1,1.0,0.8021978,1.0,True
205,117,175,1,1.0,0.72527473,1.0,False
206,127,176,1,1.0,0.78021978,0.97802198,False
207,125,177,1,1.0,0.82795699,0.98901099,True
208,113,178,1,1.0,0.8021978,1.0,True
210,128,179,1,1.0,0.73626374,1.0,False
211,131,180,1,1.0,0.67032967,0.98901099,False
212,127,181,1,1.0,0.76923077,1.0,False
213,126,182,2,0.5,0.83516484,1.0,True
214,116,183,1,1.0,0.69565217,0.97802198,False
215,133,184,1,1.0,0.85714286,1.0,True
216,137,185,1,1.0,0.82417582,1.0,True
217,129,186,1,1.0,0.78021978,0.97802198,False
218,132,187,1,1.0,0.73626374,1.0,False
219,126,188,1,1.0,0.8021978,1.0,True
220,127,189,1,1.0,0.79120879,0.98901099,False
221,124,190,1,1.0,0.73626374,1.0,False
222,122,191,1,1.0,0.76923077,0.98901099,False
223,127,192,1,1.0,0.78021978,1.0,False
224,117,193,1,1.0,0.78021978,0.98901099,False
225,117,194,2,0.5,0.67032967,0.97802198,False
226,131,195,1,1.0,0.74725275,0.98901099,False
227,128,196,1,1.0,0.75824176,1.0,False
228,137,197,1,1.0,0.8021978,0.98901099,True
229,117,198,5,0.2,0.71428571,0.97802198,False
230,122,199,1,1.0,0.76923077,1.0,False
231,127,200,1,1.0,0.82417582,0.98901099,True
232,118,201,1,1.0,0.76923077,1.0,False
233,119,202,1,1.0,0.77419355,1.0,False
234,124,203,1,1.0,0.85714286,0.98901099,True
235,127,204,1,1.0,0.8021978,0.97802198,True
236,130,205,1,1.0,0.74725275,1.0,False
237,122,206,1,1.0,0.78021978,0.98901099,False
238,118,207,1,1.0,0.72527473,0.98901099,False
239,123,208,1,1.0,0.85714286,1.0,True
240,130,209,3,0.3333333333,0.68131868,0.97802198,False
241,124,210,1,1.0,0.79120879,1.0,False
242,129,211,1,1.0,0.76923077,0.97802198,False
243,125,212,1,1.0,0.69230769,0.97802198,False
244,123,213,1,1.0,0.76923077,0.98901099,False
245,132,214,1,1.0,0.78021978,1.0,False
246,126,215,1,1.0,0.76923077,0.97802198,False
247,124,216,1,1.0,0.73626374,1.0,False
248,127,217,1,1.0,0.71428571,1.0,False
249,122,218,6,0.1666666667,0.78021978,0.98901099,False
250,115,219,1,1.0,0.78021978,0.98901099,False
251,134,220,1,1.0,0.76923077,1.0,False
252,124,221,1,1.0,0.85714286,0.98901099,True
253,123,222,1,1.0,0.81318681,1.0,True
254,125,223,1,1.0,0.69230769,0.98901099,False
255,116,224,1,1.0,0.82417582,1.0,True
256,122,225,1,1.0,0.83516484,1.0,True
257,126,226,1,1.0,0.8021978,0.98901099,True
259,119,227,1,1.0,0.8021978,1.0,True
260,118,228,1,1.0,0.67032967,0.87912088,False
261,115,229,1,1.0,0.72527473,0.96703297,False
262,132,209,3,0.3333333333,0.71428571,1.0,False
263,125,230,1,1.0,0.79120879,1.0,False
264,119,231,1,1.0,0.79120879,1.0,False
265,116,23,84,0.0119047619,0.73626374,0.98901099,False
266,130,232,1,1.0,0.84615385,1.0,True
267,123,233,1,1.0,0.76923077,1.0,False
268,126,234,2,0.5,0.71428571,1.0,False
269,125,235,1,1.0,0.7032967,1.0,False
270,127,236,1,1.0,0.69230769,1.0,False
271,136,237,1,1.0,0.86813187,1.0,True
272,121,238,1,1.0,0.73626374,0.98901099,False
273,124,239,1,1.0,0.8021978,0.98901099,True
274,131,240,1,1.0,0.71428571,1.0,False
275,130,241,1,1.0,0.8021978,0.98901099,True
276,124,242,1,1.0,0.79120879,0.97802198,False
277,127,243,1,1.0,0.81318681,1.0,True
279,117,244,1,1.0,0.83516484,1.0,True
280,128,245,1,1.0,0.79120879,0.98901099,False
281,125,246,1,1.0,0.7173913,0.97802198,False
282,139,247,1,1.0,0.82417582,1.0,True
283,125,248,1,1.0,0.72527473,0.98901099,False
284,117,23,84,0.0119047619,0.72527473,1.0,False
285,131,249,1,1.0,0.83516484,1.0,True
286,128,250,1,1.0,0.79120879,1.0,False
287,125,251,1,1.0,0.79120879,0.98901099,False
288,128,252,1,1.0,0.8021978,1.0,True
289,128,253,1,1.0,0.82417582,1.0,True
290,118,254,1,1.0,0.74725275,0.98901099,False
291,130,255,1,1.0,0.83516484,1.0,True
292,132,256,1,1.0,0.83516484,1.0,True
293,118,257,1,1.0,0.86813187,0.97802198,True
294,129,258,1,1.0,0.78021978,1.0,False
295,117,23,84,0.0119047619,0.73626374,1.0,False
296,126,259,1,1.0,0.81318681,0.98901099,True
297,116,260,1,1.0,0.8021978,0.98901099,True
298,130,261,1,1.0,0.8021978,1.0,True
299,124,262,1,1.0,0.72527473,1.0,False
300,125,263,1,1.0,0.8021978,0.98901099,True
301,127,264,1,1.0,0.78021978,0.98901099,False
302,120,265,1,1.0,0.81318681,0.96703297,True
303,124,266,1,1.0,0.76923077,1.0,False
304,122,267,1,1.0,0.73626374,0.98901099,False
305,124,268,2,0.5,0.75824176,1.0,False
307,119,269,3,0.3333333333,0.73626374,1.0,False
308,128,270,1,1.0,0.81318681,1.0,True
309,123,271,3,0.3333333333,0.78021978,1.0,False
310,129,272,1,1.0,0.8021978,1.0,True
311,115,273,1,1.0,0.73626374,1.0,False
312,127,274,1,1.0,0.73626374,0.98901099,False
313,125,275,1,1.0,0.83516484,1.0,True
316,124,276,1,1.0,0.8021978,0.97802198,True
317,123,277,1,1.0,0.8021978,1.0,True
318,127,278,1,1.0,0.78021978,1.0,False
320,125,279,1,1.0,0.79120879,1.0,False
321,127,280,1,1.0,0.79120879,1.0,False
322,119,281,1,1.0,0.79120879,1.0,False
323,124,282,1,1.0,0.79120879,0.98901099,False
324,120,283,1,1.0,0.8021978,1.0,True
325,135,284,1,1.0,0.76923077,1.0,False
326,119,285,1,1.0,0.7032967,0.98901099,False
327,121,286,1,1.0,0.81318681,1.0,True
328,122,287,2,0.5,0.68131868,1.0,False
329,118,288,1,1.0,0.81318681,0.98901099,True
330,122,289,1,1.0,0.81318681,1.0,True
331,123,290,1,1.0,0.75824176,1.0,False
332,124,291,1,1.0,0.75268817,0.98901099,False
333,125,292,3,0.3333333333,0.79120879,0.98901099,False
334,122,293,1,1.0,0.79120879,0.98901099,False
335,129,294,1,1.0,0.81318681,1.0,True
336,123,295,1,1.0,0.75824176,1.0,False
337,124,296,1,1.0,0.76923077,1.0,False
338,119,297,1,1.0,0.8021978,1.0,True
340,124,298,1,1.0,0.85714286,0.98901099,True
341,122,299,1,1.0,0.82417582,0.98901099,True
342,117,112,14,0.0714285714,0.76923077,0.98901099,False
343,131,300,1,1.0,0.63736264,1.0,False
345,121,301,1,1.0,0.8021978,0.98901099,True
346,116,23,84,0.0119047619,0.73626374,0.98901099,False
347,123,302,1,1.0,0.8021978,0.98901099,True
348,122,303,1,1.0,0.71428571,1.0,False
349,124,304,1,1.0,0.83516484,0.97802198,True
350,120,305,1,1.0,0.85714286,1.0,True
351,117,306,1,1.0,0.78021978,0.97802198,False
352,129,307,1,1.0,0.8021978,0.97802198,True
353,130,308,1,1.0,0.79120879,1.0,False
354,122,309,1,1.0,0.8021978,0.98901099,True
355,125,310,1,1.0,0.8172043,0.97802198,True
356,129,311,1,1.0,0.83516484,1.0,True
357,125,312,1,1.0,0.76923077,0.98901099,False
358,119,313,1,1.0,0.84615385,0.97802198,True
359,123,314,1,1.0,0.83516484,0.97802198,True
361,121,315,2,0.5,0.83516484,1.0,True
362,126,316,1,1.0,0.83516484,0.98901099,True
363,122,317,1,1.0,0.75824176,0.98901099,False
364,125,318,1,1.0,0.82417582,1.0,True
365,125,319,1,1.0,0.71428571,0.97802198,False
366,127,320,1,1.0,0.82417582,0.97802198,True
367,128,321,1,1.0,0.83516484,1.0,True
368,124,322,1,1.0,0.78021978,0.98901099,False
369,122,323,1,1.0,0.75824176,0.97802198,False
370,129,324,1,1.0,0.83516484,1.0,True
371,125,325,1,1.0,0.86813187,1.0,True
372,119,326,1,1.0,0.7032967,1.0,False
373,131,327,1,1.0,0.78021978,1.0,False
374,127,328,1,1.0,0.83516484,0.98901099,True
375,123,329,1,1.0,0.86813187,1.0,True
376,122,330,1,1.0,0.79120879,1.0,False
377,123,331,7,0.1428571429,0.8021978,1.0,True
378,118,332,1,1.0,0.78021978,1.0,False
379,119,333,6,0.1666666667,0.71428571,1.0,False
380,125,334,1,1.0,0.81318681,1.0,True
381,130,335,1,1.0,0.84615385,1.0,True
383,129,336,1,1.0,0.8021978,1.0,True
384,116,337,1,1.0,0.75824176,1.0,False
387,135,338,1,1.0,0.69473684,0.98901099,False
388,118,339,1,1.0,0.72527473,0.96703297,False
389,126,340,1,1.0,0.75824176,1.0,False
390,131,341,1,1.0,0.83516484,1.0,True
391,117,342,1,1.0,0.8021978,0.98901099,True
392,124,343,1,1.0,0.78021978,1.0,False
393,129,344,1,1.0,0.67368421,0.96703297,False
394,128,345,1,1.0,0.84615385,1.0,True
395,124,346,1,1.0,0.71428571,1.0,False
396,122,347,1,1.0,0.78021978,1.0,False
398,126,348,1,1.0,0.85714286,1.0,True
399,122,349,1,1.0,0.79120879,1.0,False
400,128,350,2,0.5,0.76923077,1.0,False
401,126,351,2,0.5,0.72527473,1.0,False
402,124,352,1,1.0,0.81318681,1.0,True
403,124,353,1,1.0,0.82417582,1.0,True
404,130,354,1,1.0,0.75824176,1.0,False
405,127,355,1,1.0,0.85714286,1.0,True
408,123,356,1,1.0,0.78021978,1.0,False
409,117,357,1,1.0,0.73626374,1.0,False
410,125,358,1,1.0,0.72527473,1.0,False
411,118,359,1,1.0,0.71428571,1.0,False
412,117,360,1,1.0,0.63736264,0.98901099,False
413,126,361,1,1.0,0.85714286,1.0,True
414,119,362,1,1.0,0.71428571,0.97802198,False
415,125,363,1,1.0,0.79120879,1.0,False
416,125,364,1,1.0,0.71428571,1.0,False
417,125,365,1,1.0,0.8021978,0.98901099,True
418,126,366,1,1.0,0.8021978,1.0,True
419,126,367,1,1.0,0.8021978,1.0,True
420,133,368,1,1.0,0.82417582,0.97802198,True
421,125,369,1,1.0,0.86813187,0.98901099,True
422,125,370,1,1.0,0.82417582,1.0,True
423,128,371,1,1.0,0.79120879,0.98901099,False
424,126,372,1,1.0,0.84615385,1.0,True
425,126,373,1,1.0,0.8021978,1.0,True
426,123,374,1,1.0,0.76923077,1.0,False
427,136,375,1,1.0,0.81318681,1.0,True
428,126,376,1,1.0,0.78021978,0.98901099,False
429,127,377,1,1.0,0.81318681,1.0,True
430,125,378,1,1.0,0.68131868,0.98901099,False
431,122,379,1,1.0,0.85714286,1.0,True
432,127,380,3,0.3333333333,0.81318681,0.98901099,True
433,125,381,1,1.0,0.76923077,0.98901099,False
434,117,382,1,1.0,0.7032967,0.86813187,False
435,124,383,1,1.0,0.81318681,1.0,True
437,122,384,1,1.0,0.86813187,1.0,True
438,128,385,1,1.0,0.82417582,1.0,True
439,125,386,1,1.0,0.74725275,0.98901099,False
440,126,387,1,1.0,0.81318681,0.97802198,True
441,119,388,1,1.0,0.73626374,1.0,False
442,117,23,84,0.0119047619,0.73626374,1.0,False
443,120,389,1,1.0,0.68131868,1.0,False
444,125,390,1,1.0,0.76923077,1.0,False
445,120,391,1,1.0,0.84615385,1.0,True
446,130,392,1,1.0,0.85714286,1.0,True
447,126,393,6,0.1666666667,0.78021978,0.98901099,False
448,125,394,1,1.0,0.71428571,1.0,False
449,117,23,84,0.0119047619,0.74725275,1.0,False
450,127,395,1,1.0,0.84615385,1.0,True
451,125,396,1,1.0,0.74725275,1.0,False
452,129,397,1,1.0,0.78021978,1.0,False
453,125,398,1,1.0,0.83516484,1.0,True
454,121,399,1,1.0,0.74725275,1.0,False
455,118,400,1,1.0,0.72527473,0.98901099,False
456,131,401,1,1.0,0.7032967,1.0,False
457,118,402,1,1.0,0.69230769,1.0,False
458,122,403,1,1.0,0.74725275,0.97802198,False
459,129,404,1,1.0,0.74193548,1.0,False
460,127,405,1,1.0,0.79120879,1.0,False
461,130,406,1,1.0,0.76923077,1.0,False
462,123,407,1,1.0,0.79120879,0.98901099,False
463,122,408,1,1.0,0.73626374,0.96703297,False
464,130,409,1,1.0,0.78021978,1.0,False
465,128,410,1,1.0,0.7826087,1.0,False
466,123,411,1,1.0,0.78021978,1.0,False
467,130,412,1,1.0,0.74725275,1.0,False
469,123,413,1,1.0,0.76923077,0.97802198,False
470,120,414,2,0.5,0.83516484,0.97802198,True
471,123,415,1,1.0,0.76923077,0.97802198,False
473,121,416,1,1.0,0.73626374,1.0,False
474,124,417,1,1.0,0.83516484,0.98901099,True
475,122,418,1,1.0,0.79120879,1.0,False
476,122,419,1,1.0,0.79120879,1.0,False
477,119,420,1,1.0,0.7032967,0.86813187,False
478,125,421,1,1.0,0.72527473,0.98901099,False
480,130,422,1,1.0,0.78021978,1.0,False
481,126,423,1,1.0,0.8021978,0.98901099,True
482,130,424,1,1.0,0.73626374,1.0,False
483,115,425,1,1.0,0.73626374,1.0,False
484,122,426,1,1.0,0.84615385,1.0,True
485,122,427,1,1.0,0.8021978,1.0,True
486,128,428,1,1.0,0.79120879,1.0,False
487,128,429,1,1.0,0.78021978,1.0,False
488,124,430,1,1.0,0.8021978,1.0,True
489,129,431,1,1.0,0.8021978,0.97802198,True
490,124,432,1,1.0,0.83516484,1.0,True
491,123,433,1,1.0,0.75824176,0.98901099,False
492,136,434,1,1.0,0.75824176,1.0,False
493,128,435,1,1.0,0.72527473,0.98901099,False
494,123,436,1,1.0,0.84615385,0.97802198,True
495,119,437,1,1.0,0.79120879,1.0,False
496,124,438,1,1.0,0.73626374,1.0,False
497,125,439,1,1.0,0.8021978,1.0,True
498,130,440,1,1.0,0.8021978,1.0,True
499,121,441,1,1.0,0.65934066,0.87912088,False
500,127,442,1,1.0,0.70652174,0.98901099,False
501,125,443,1,1.0,0.82417582,1.0,True
502,131,444,1,1.0,0.75824176,1.0,False
503,118,445,1,1.0,0.81318681,1.0,True
504,130,446,1,1.0,0.8021978,1.0,True
505,128,447,1,1.0,0.82417582,1.0,True
506,128,448,1,1.0,0.74725275,0.98901099,False
507,121,449,1,1.0,0.82417582,1.0,True
508,137,450,1,1.0,0.83516484,1.0,True
509,122,451,1,1.0,0.82417582,0.98901099,True
510,126,452,1,1.0,0.83516484,1.0,True
511,133,453,1,1.0,0.78021978,1.0,False
512,118,454,1,1.0,0.69230769,1.0,False
513,133,455,1,1.0,0.73626374,1.0,False
514,117,456,1,1.0,0.76923077,1.0,False
515,127,457,1,1.0,0.79120879,1.0,False
516,119,458,1,1.0,0.68131868,0.85714286,False
517,136,459,1,1.0,0.75824176,0.98901099,False
518,126,460,1,1.0,0.81318681,1.0,True
519,123,461,1,1.0,0.83516484,1.0,True
520,120,462,1,1.0,0.65934066,0.98901099,False
521,122,463,1,1.0,0.79120879,1.0,False
522,117,464,1,1.0,0.79120879,1.0,False
523,129,465,1,1.0,0.76923077,0.98901099,False
524,126,466,1,1.0,0.69230769,0.98901099,False
525,126,467,1,1.0,0.84615385,0.98901099,True
526,123,468,1,1.0,0.82417582,1.0,True
527,127,469,1,1.0,0.8021978,1.0,True
528,126,470,1,1.0,0.79120879,0.98901099,False
530,120,471,1,1.0,0.7173913,0.96703297,False
531,125,126,10,0.1,0.81318681,1.0,True
532,122,472,1,1.0,0.75824176,0.98901099,False
533,115,473,1,1.0,0.79120879,0.98901099,False
534,123,474,1,1.0,0.82417582,0.97802198,True
535,126,475,1,1.0,0.73737374,1.0,False
536,120,476,1,1.0,0.74725275,0.98901099,False
538,127,477,1,1.0,0.83516484,1.0,True
539,121,478,6,0.1666666667,0.73626374,1.0,False
540,132,479,1,1.0,0.87912088,1.0,True
541,129,480,1,1.0,0.75824176,1.0,False
542,120,481,1,1.0,0.79120879,1.0,False
543,126,482,1,1.0,0.73626374,1.0,False
544,123,483,3,0.3333333333,0.74725275,0.97802198,False
545,124,484,1,1.0,0.82417582,1.0,True
546,123,485,1,1.0,0.76923077,0.98901099,False
548,128,486,1,1.0,0.74725275,1.0,False
549,123,487,2,0.5,0.79120879,0.98901099,False
550,124,488,1,1.0,0.81318681,0.98901099,True
551,122,489,2,0.5,0.85714286,1.0,True
552,127,490,1,1.0,0.74725275,0.98901099,False
553,125,491,1,1.0,0.69230769,1.0,False
554,120,492,1,1.0,0.81318681,1.0,True
555,126,493,1,1.0,0.82417582,1.0,True
556,117,494,1,1.0,0.69230769,0.98901099,False
557,130,495,1,1.0,0.81318681,1.0,True
558,128,496,1,1.0,0.82417582,1.0,True
560,131,497,1,1.0,0.8021978,0.98901099,True
561,132,498,1,1.0,0.82417582,1.0,True
562,120,499,1,1.0,0.74725275,1.0,False
563,130,500,1,1.0,0.79120879,1.0,False
564,129,501,1,1.0,0.81318681,1.0,True
565,124,502,1,1.0,0.79120879,0.98901099,False
566,125,503,1,1.0,0.82417582,0.98901099,True
567,121,504,1,1.0,0.8021978,1.0,True
568,113,505,1,1.0,0.79120879,0.98901099,False
569,123,506,1,1.0,0.83516484,1.0,True
570,118,507,1,1.0,0.8021978,0.98901099,True
571,128,508,1,1.0,0.89010989,0.98901099,True
572,138,509,1,1.0,0.73626374,1.0,False
573,121,510,1,1.0,0.74725275,0.98901099,False
574,126,511,1,1.0,0.7032967,0.98901099,False
575,126,512,1,1.0,0.8021978,0.98901099,True
576,124,513,1,1.0,0.8021978,0.98901099,True
577,130,514,1,1.0,0.7311828,0.98901099,False
578,130,515,1,1.0,0.7032967,0.97802198,False
579,117,516,1,1.0,0.72527473,1.0,False
580,123,517,1,1.0,0.74725275,0.98901099,False
581,124,518,1,1.0,0.75824176,1.0,False
582,122,519,1,1.0,0.7032967,0.98901099,False
583,128,520,1,1.0,0.79120879,0.98901099,False
584,125,521,1,1.0,0.79120879,1.0,False
585,127,522,1,1.0,0.76923077,1.0,False
587,118,523,1,1.0,0.82417582,1.0,True
588,118,524,1,1.0,0.74725275,0.97802198,False
589,124,525,1,1.0,0.7032967,0.98901099,False
590,124,126,10,0.1,0.79120879,0.98901099,False
591,124,526,1,1.0,0.8021978,1.0,True
592,121,126,10,0.1,0.75824176,0.97802198,False
593,118,527,1,1.0,0.75824176,1.0,False
594,127,528,1,1.0,0.85714286,1.0,True
595,115,529,1,1.0,0.65934066,0.96703297,False
596,122,530,1,1.0,0.85714286,0.97802198,True
597,129,531,1,1.0,0.86813187,1.0,True
598,122,532,1,1.0,0.82417582,1.0,True
599,131,533,1,1.0,0.78021978,1.0,False
600,130,534,2,0.5,0.79120879,1.0,False
